date,stock,strategy,operation,price,size,capital,profit_gross,profit_net
2021-04-29,AAPL,SMAStrategy10,TRADE_CLOSE,,0,103025.06019495009,126.30986827483682,126.30986827483682
2021-04-29,MSFT,SMAStrategy10,SELL,245.68858324908823,-41,103025.06019495009,,
2021-04-29,AAPL,SMAStrategy10,SELL,133.0455464580238,-79,103025.06019495009,,
2021-04-30,TSLA,SMAStrategy30,SELL,222.52999877929688,-43,102343.5766286659,,
2021-04-30,TSLA,SMAStrategy30,TRADE_CLOSE,,0,102343.5766286659,-325.51031494140625,-325.51031494140625
2021-05-03,TSLA,SMAStrategy30,BUY,234.60000610351562,43,102036.44853113173,,
2021-05-04,TSLA,SMAStrategy30,TRADE_CLOSE,,0,100919.0636586952,-356.32667541503906,-356.32667541503906
2021-05-04,TSLA,SMAStrategy30,SELL,226.31333923339844,-43,100919.0636586952,,
2021-05-05,MSFT,SMAStrategy30,SELL,239.5333781544318,-42,101159.1318811294,,
2021-05-05,AAPL,SMAStrategy30,TRADE_CLOSE,,0,101159.1318811294,420.89540087460307,420.89540087460307
2021-05-05,MSFT,SMAStrategy30,TRADE_CLOSE,,0,101159.1318811294,427.765551408573,427.765551408573
2021-05-05,AAPL,SMAStrategy30,SELL,125.9579783478725,-81,101159.1318811294,,
2021-05-05,GOOGL,SMAStrategy10,SELL,115.55836355445537,-91,101159.1318811294,,
2021-05-05,GOOGL,SMAStrategy10,TRADE_CLOSE,,0,101159.1318811294,108.87684952815873,108.87684952815873
2021-05-07,GOOGL,SMAStrategy10,BUY,117.30815282057624,87,101472.7975690696,,
2021-05-07,AAPL,SMAStrategy30,BUY,127.78323316430348,80,101472.7975690696,,
2021-05-10,MSFT,SMAStrategy30,BUY,241.27417043051173,41,100310.97411529312,,
2021-05-11,AAPL,SMAStrategy30,TRADE_CLOSE,,0,99527.96777748532,-574.2166444182533,-574.2166444182533
2021-05-11,MSFT,GoldenCrossStrategy1030,TRADE_CLOSE,,0,99527.96777748532,245.59137475901275,245.59137475901275
2021-05-11,MSFT,GoldenCrossStrategy1030,SELL,235.19589775801373,-42,99527.96777748532,,
2021-05-11,GOOGL,SMAStrategy10,SELL,111.31247266705684,-87,99527.96777748532,,
2021-05-11,AAPL,SMAStrategy30,SELL,120.60552510907533,-80,99527.96777748532,,
2021-05-11,MSFT,SMAStrategy30,TRADE_CLOSE,,0,99527.96777748532,-249.20917957241926,-249.20917957241926
2021-05-11,GOOGL,SMAStrategy10,TRADE_CLOSE,,0,99527.96777748532,-521.624173356188,-521.624173356188
